"","Observations","Posterior","Candidate"
"191",3200,0,"WILLIAMS Toby"
"192",3200,0,"WRIGHT Sue"
"193",3300,0,"HRNJAK Ethan"
"194",3300,0,"MAWSON Greg"
"195",3300,1,"REGAN Michael"
"196",3300,0,"SORENSEN Susan"
"197",3300,0,"WILLIAMS Toby"
"198",3300,0,"WRIGHT Sue"
"199",3400,0,"HRNJAK Ethan"
"200",3400,0,"MAWSON Greg"
"201",3400,1,"REGAN Michael"
"202",3400,0,"SORENSEN Susan"
"203",3400,0,"WILLIAMS Toby"
"204",3400,0,"WRIGHT Sue"
"205",3500,0,"HRNJAK Ethan"
"206",3500,0,"MAWSON Greg"
"207",3500,1,"REGAN Michael"
"208",3500,0,"SORENSEN Susan"
"209",3500,0,"WILLIAMS Toby"
"210",3500,0,"WRIGHT Sue"
"211",3600,0,"HRNJAK Ethan"
"212",3600,0,"MAWSON Greg"
"213",3600,1,"REGAN Michael"
"214",3600,0,"SORENSEN Susan"
"215",3600,0,"WILLIAMS Toby"
"216",3600,0,"WRIGHT Sue"
"217",3700,0,"HRNJAK Ethan"
"218",3700,0,"MAWSON Greg"
"219",3700,1,"REGAN Michael"
"220",3700,0,"SORENSEN Susan"
"221",3700,0,"WILLIAMS Toby"
"222",3700,0,"WRIGHT Sue"
"223",3800,0,"HRNJAK Ethan"
"224",3800,0,"MAWSON Greg"
"225",3800,1,"REGAN Michael"
"226",3800,0,"SORENSEN Susan"
"227",3800,0,"WILLIAMS Toby"
"228",3800,0,"WRIGHT Sue"
"229",3900,0,"HRNJAK Ethan"
"230",3900,0,"MAWSON Greg"
"231",3900,1,"REGAN Michael"
"232",3900,0,"SORENSEN Susan"
"233",3900,0,"WILLIAMS Toby"
"234",3900,0,"WRIGHT Sue"
"235",4000,0,"HRNJAK Ethan"
"236",4000,0,"MAWSON Greg"
"237",4000,1,"REGAN Michael"
"238",4000,0,"SORENSEN Susan"
"239",4000,0,"WILLIAMS Toby"
"240",4000,0,"WRIGHT Sue"
"241",4100,0,"HRNJAK Ethan"
"242",4100,0,"MAWSON Greg"
"243",4100,1,"REGAN Michael"
"244",4100,0,"SORENSEN Susan"
"245",4100,0,"WILLIAMS Toby"
"246",4100,0,"WRIGHT Sue"
"247",4200,0,"HRNJAK Ethan"
"248",4200,0,"MAWSON Greg"
"249",4200,1,"REGAN Michael"
"250",4200,0,"SORENSEN Susan"
"251",4200,0,"WILLIAMS Toby"
"252",4200,0,"WRIGHT Sue"
"253",4300,0,"HRNJAK Ethan"
"254",4300,0,"MAWSON Greg"
"255",4300,1,"REGAN Michael"
"256",4300,0,"SORENSEN Susan"
"257",4300,0,"WILLIAMS Toby"
"258",4300,0,"WRIGHT Sue"
"259",4400,0,"HRNJAK Ethan"
"260",4400,0,"MAWSON Greg"
"261",4400,1,"REGAN Michael"
"262",4400,0,"SORENSEN Susan"
"263",4400,0,"WILLIAMS Toby"
"264",4400,0,"WRIGHT Sue"
"265",4500,0,"HRNJAK Ethan"
"266",4500,0,"MAWSON Greg"
"267",4500,1,"REGAN Michael"
"268",4500,0,"SORENSEN Susan"
"269",4500,0,"WILLIAMS Toby"
"270",4500,0,"WRIGHT Sue"
"271",4600,0,"HRNJAK Ethan"
"272",4600,0,"MAWSON Greg"
"273",4600,1,"REGAN Michael"
"274",4600,0,"SORENSEN Susan"
"275",4600,0,"WILLIAMS Toby"
"276",4600,0,"WRIGHT Sue"
"277",4700,0,"HRNJAK Ethan"
"278",4700,0,"MAWSON Greg"
"279",4700,1,"REGAN Michael"
"280",4700,0,"SORENSEN Susan"
"281",4700,0,"WILLIAMS Toby"
"282",4700,0,"WRIGHT Sue"
"283",4800,0,"HRNJAK Ethan"
"284",4800,0,"MAWSON Greg"
"285",4800,1,"REGAN Michael"
"286",4800,0,"SORENSEN Susan"
"287",4800,0,"WILLIAMS Toby"
"288",4800,0,"WRIGHT Sue"
"289",4900,0,"HRNJAK Ethan"
"290",4900,0,"MAWSON Greg"
"291",4900,1,"REGAN Michael"
"292",4900,0,"SORENSEN Susan"
"293",4900,0,"WILLIAMS Toby"
"294",4900,0,"WRIGHT Sue"
"295",5000,0,"HRNJAK Ethan"
"296",5000,0,"MAWSON Greg"
"297",5000,1,"REGAN Michael"
"298",5000,0,"SORENSEN Susan"
"299",5000,0,"WILLIAMS Toby"
"300",5000,0,"WRIGHT Sue"
"301",5100,0,"HRNJAK Ethan"
"302",5100,0,"MAWSON Greg"
"303",5100,1,"REGAN Michael"
"304",5100,0,"SORENSEN Susan"
"305",5100,0,"WILLIAMS Toby"
"306",5100,0,"WRIGHT Sue"
"307",5200,0,"HRNJAK Ethan"
"308",5200,0,"MAWSON Greg"
"309",5200,1,"REGAN Michael"
"310",5200,0,"SORENSEN Susan"
"311",5200,0,"WILLIAMS Toby"
"312",5200,0,"WRIGHT Sue"
"313",5300,0,"HRNJAK Ethan"
"314",5300,0,"MAWSON Greg"
"315",5300,1,"REGAN Michael"
"316",5300,0,"SORENSEN Susan"
"317",5300,0,"WILLIAMS Toby"
"318",5300,0,"WRIGHT Sue"
"319",5400,0,"HRNJAK Ethan"
"320",5400,0,"MAWSON Greg"
"321",5400,1,"REGAN Michael"
"322",5400,0,"SORENSEN Susan"
"323",5400,0,"WILLIAMS Toby"
"324",5400,0,"WRIGHT Sue"
"325",5500,0,"HRNJAK Ethan"
"326",5500,0,"MAWSON Greg"
"327",5500,1,"REGAN Michael"
"328",5500,0,"SORENSEN Susan"
"329",5500,0,"WILLIAMS Toby"
"330",5500,0,"WRIGHT Sue"
"331",5600,0,"HRNJAK Ethan"
"332",5600,0,"MAWSON Greg"
"333",5600,1,"REGAN Michael"
"334",5600,0,"SORENSEN Susan"
"335",5600,0,"WILLIAMS Toby"
"336",5600,0,"WRIGHT Sue"
"337",5700,0,"HRNJAK Ethan"
"338",5700,0,"MAWSON Greg"
"339",5700,1,"REGAN Michael"
"340",5700,0,"SORENSEN Susan"
"341",5700,0,"WILLIAMS Toby"
"342",5700,0,"WRIGHT Sue"
"343",5800,0,"HRNJAK Ethan"
"344",5800,0,"MAWSON Greg"
"345",5800,1,"REGAN Michael"
"346",5800,0,"SORENSEN Susan"
"347",5800,0,"WILLIAMS Toby"
"348",5800,0,"WRIGHT Sue"
"349",5900,0,"HRNJAK Ethan"
"350",5900,0,"MAWSON Greg"
"351",5900,1,"REGAN Michael"
"352",5900,0,"SORENSEN Susan"
"353",5900,0,"WILLIAMS Toby"
"354",5900,0,"WRIGHT Sue"
"355",6000,0,"HRNJAK Ethan"
"356",6000,0,"MAWSON Greg"
"357",6000,1,"REGAN Michael"
"358",6000,0,"SORENSEN Susan"
"359",6000,0,"WILLIAMS Toby"
"360",6000,0,"WRIGHT Sue"
"361",6100,0,"HRNJAK Ethan"
"362",6100,0,"MAWSON Greg"
"363",6100,1,"REGAN Michael"
"364",6100,0,"SORENSEN Susan"
"365",6100,0,"WILLIAMS Toby"
"366",6100,0,"WRIGHT Sue"
"367",6200,0,"HRNJAK Ethan"
"368",6200,0,"MAWSON Greg"
"369",6200,1,"REGAN Michael"
"370",6200,0,"SORENSEN Susan"
"371",6200,0,"WILLIAMS Toby"
"372",6200,0,"WRIGHT Sue"
"373",6300,0,"HRNJAK Ethan"
"374",6300,0,"MAWSON Greg"
"375",6300,1,"REGAN Michael"
"376",6300,0,"SORENSEN Susan"
"377",6300,0,"WILLIAMS Toby"
"378",6300,0,"WRIGHT Sue"
"379",6400,0,"HRNJAK Ethan"
"380",6400,0,"MAWSON Greg"
"381",6400,1,"REGAN Michael"
"382",6400,0,"SORENSEN Susan"
"383",6400,0,"WILLIAMS Toby"
"384",6400,0,"WRIGHT Sue"
"385",6500,0,"HRNJAK Ethan"
"386",6500,0,"MAWSON Greg"
"387",6500,1,"REGAN Michael"
"388",6500,0,"SORENSEN Susan"
"389",6500,0,"WILLIAMS Toby"
"390",6500,0,"WRIGHT Sue"
"391",6600,0,"HRNJAK Ethan"
"392",6600,0,"MAWSON Greg"
"393",6600,1,"REGAN Michael"
"394",6600,0,"SORENSEN Susan"
"395",6600,0,"WILLIAMS Toby"
"396",6600,0,"WRIGHT Sue"
"397",6700,0,"HRNJAK Ethan"
"398",6700,0,"MAWSON Greg"
"399",6700,1,"REGAN Michael"
"400",6700,0,"SORENSEN Susan"
"401",6700,0,"WILLIAMS Toby"
"402",6700,0,"WRIGHT Sue"
"403",6800,0,"HRNJAK Ethan"
"404",6800,0,"MAWSON Greg"
"405",6800,1,"REGAN Michael"
"406",6800,0,"SORENSEN Susan"
"407",6800,0,"WILLIAMS Toby"
"408",6800,0,"WRIGHT Sue"
"409",6900,0,"HRNJAK Ethan"
"410",6900,0,"MAWSON Greg"
"411",6900,1,"REGAN Michael"
"412",6900,0,"SORENSEN Susan"
"413",6900,0,"WILLIAMS Toby"
"414",6900,0,"WRIGHT Sue"
"415",7000,0,"HRNJAK Ethan"
"416",7000,0,"MAWSON Greg"
"417",7000,1,"REGAN Michael"
"418",7000,0,"SORENSEN Susan"
"419",7000,0,"WILLIAMS Toby"
"420",7000,0,"WRIGHT Sue"
"421",7100,0,"HRNJAK Ethan"
"422",7100,0,"MAWSON Greg"
"423",7100,1,"REGAN Michael"
"424",7100,0,"SORENSEN Susan"
"425",7100,0,"WILLIAMS Toby"
"426",7100,0,"WRIGHT Sue"
"427",7200,0,"HRNJAK Ethan"
"428",7200,0,"MAWSON Greg"
"429",7200,1,"REGAN Michael"
"430",7200,0,"SORENSEN Susan"
"431",7200,0,"WILLIAMS Toby"
"432",7200,0,"WRIGHT Sue"
"433",7300,0,"HRNJAK Ethan"
"434",7300,0,"MAWSON Greg"
"435",7300,1,"REGAN Michael"
"436",7300,0,"SORENSEN Susan"
"437",7300,0,"WILLIAMS Toby"
"438",7300,0,"WRIGHT Sue"
"439",7400,0,"HRNJAK Ethan"
"440",7400,0,"MAWSON Greg"
"441",7400,1,"REGAN Michael"
"442",7400,0,"SORENSEN Susan"
"443",7400,0,"WILLIAMS Toby"
"444",7400,0,"WRIGHT Sue"
"445",7500,0,"HRNJAK Ethan"
"446",7500,0,"MAWSON Greg"
"447",7500,1,"REGAN Michael"
"448",7500,0,"SORENSEN Susan"
"449",7500,0,"WILLIAMS Toby"
"450",7500,0,"WRIGHT Sue"
"451",7600,0,"HRNJAK Ethan"
"452",7600,0,"MAWSON Greg"
"453",7600,1,"REGAN Michael"
"454",7600,0,"SORENSEN Susan"
"455",7600,0,"WILLIAMS Toby"
"456",7600,0,"WRIGHT Sue"
"457",7700,0,"HRNJAK Ethan"
"458",7700,0,"MAWSON Greg"
"459",7700,1,"REGAN Michael"
"460",7700,0,"SORENSEN Susan"
"461",7700,0,"WILLIAMS Toby"
"462",7700,0,"WRIGHT Sue"
"463",7800,0,"HRNJAK Ethan"
"464",7800,0,"MAWSON Greg"
"465",7800,1,"REGAN Michael"
"466",7800,0,"SORENSEN Susan"
"467",7800,0,"WILLIAMS Toby"
"468",7800,0,"WRIGHT Sue"
"469",7900,0,"HRNJAK Ethan"
"470",7900,0,"MAWSON Greg"
"471",7900,1,"REGAN Michael"
"472",7900,0,"SORENSEN Susan"
"473",7900,0,"WILLIAMS Toby"
"474",7900,0,"WRIGHT Sue"
"475",8000,0,"HRNJAK Ethan"
"476",8000,0,"MAWSON Greg"
"477",8000,1,"REGAN Michael"
"478",8000,0,"SORENSEN Susan"
"479",8000,0,"WILLIAMS Toby"
"480",8000,0,"WRIGHT Sue"
"481",8100,0,"HRNJAK Ethan"
"482",8100,0,"MAWSON Greg"
"483",8100,1,"REGAN Michael"
"484",8100,0,"SORENSEN Susan"
"485",8100,0,"WILLIAMS Toby"
"486",8100,0,"WRIGHT Sue"
"487",8200,0,"HRNJAK Ethan"
"488",8200,0,"MAWSON Greg"
"489",8200,1,"REGAN Michael"
"490",8200,0,"SORENSEN Susan"
"491",8200,0,"WILLIAMS Toby"
"492",8200,0,"WRIGHT Sue"
"493",8300,0,"HRNJAK Ethan"
"494",8300,0,"MAWSON Greg"
"495",8300,1,"REGAN Michael"
"496",8300,0,"SORENSEN Susan"
"497",8300,0,"WILLIAMS Toby"
"498",8300,0,"WRIGHT Sue"
"499",8400,0,"HRNJAK Ethan"
"500",8400,0,"MAWSON Greg"
"501",8400,1,"REGAN Michael"
"502",8400,0,"SORENSEN Susan"
"503",8400,0,"WILLIAMS Toby"
"504",8400,0,"WRIGHT Sue"
"505",8500,0,"HRNJAK Ethan"
"506",8500,0,"MAWSON Greg"
"507",8500,1,"REGAN Michael"
"508",8500,0,"SORENSEN Susan"
"509",8500,0,"WILLIAMS Toby"
"510",8500,0,"WRIGHT Sue"
"511",8600,0,"HRNJAK Ethan"
"512",8600,0,"MAWSON Greg"
"513",8600,1,"REGAN Michael"
"514",8600,0,"SORENSEN Susan"
"515",8600,0,"WILLIAMS Toby"
"516",8600,0,"WRIGHT Sue"
"517",8700,0,"HRNJAK Ethan"
"518",8700,0,"MAWSON Greg"
"519",8700,1,"REGAN Michael"
"520",8700,0,"SORENSEN Susan"
"521",8700,0,"WILLIAMS Toby"
"522",8700,0,"WRIGHT Sue"
"523",8800,0,"HRNJAK Ethan"
"524",8800,0,"MAWSON Greg"
"525",8800,1,"REGAN Michael"
"526",8800,0,"SORENSEN Susan"
"527",8800,0,"WILLIAMS Toby"
"528",8800,0,"WRIGHT Sue"
"529",8900,0,"HRNJAK Ethan"
"530",8900,0,"MAWSON Greg"
"531",8900,1,"REGAN Michael"
"532",8900,0,"SORENSEN Susan"
"533",8900,0,"WILLIAMS Toby"
"534",8900,0,"WRIGHT Sue"
"535",9000,0,"HRNJAK Ethan"
"536",9000,0,"MAWSON Greg"
"537",9000,1,"REGAN Michael"
"538",9000,0,"SORENSEN Susan"
"539",9000,0,"WILLIAMS Toby"
"540",9000,0,"WRIGHT Sue"
"541",9100,0,"HRNJAK Ethan"
"542",9100,0,"MAWSON Greg"
"543",9100,1,"REGAN Michael"
"544",9100,0,"SORENSEN Susan"
"545",9100,0,"WILLIAMS Toby"
"546",9100,0,"WRIGHT Sue"
"547",9200,0,"HRNJAK Ethan"
"548",9200,0,"MAWSON Greg"
"549",9200,1,"REGAN Michael"
"550",9200,0,"SORENSEN Susan"
"551",9200,0,"WILLIAMS Toby"
"552",9200,0,"WRIGHT Sue"
"553",9300,0,"HRNJAK Ethan"
"554",9300,0,"MAWSON Greg"
"555",9300,1,"REGAN Michael"
"556",9300,0,"SORENSEN Susan"
"557",9300,0,"WILLIAMS Toby"
"558",9300,0,"WRIGHT Sue"
"559",9400,0,"HRNJAK Ethan"
"560",9400,0,"MAWSON Greg"
"561",9400,1,"REGAN Michael"
"562",9400,0,"SORENSEN Susan"
"563",9400,0,"WILLIAMS Toby"
"564",9400,0,"WRIGHT Sue"
"565",9500,0,"HRNJAK Ethan"
"566",9500,0,"MAWSON Greg"
"567",9500,1,"REGAN Michael"
"568",9500,0,"SORENSEN Susan"
"569",9500,0,"WILLIAMS Toby"
"570",9500,0,"WRIGHT Sue"
"571",9600,0,"HRNJAK Ethan"
"572",9600,0,"MAWSON Greg"
"573",9600,1,"REGAN Michael"
"574",9600,0,"SORENSEN Susan"
"575",9600,0,"WILLIAMS Toby"
"576",9600,0,"WRIGHT Sue"
"577",9700,0,"HRNJAK Ethan"
"578",9700,0,"MAWSON Greg"
"579",9700,1,"REGAN Michael"
"580",9700,0,"SORENSEN Susan"
"581",9700,0,"WILLIAMS Toby"
"582",9700,0,"WRIGHT Sue"
"583",9800,0,"HRNJAK Ethan"
"584",9800,0,"MAWSON Greg"
"585",9800,1,"REGAN Michael"
"586",9800,0,"SORENSEN Susan"
"587",9800,0,"WILLIAMS Toby"
"588",9800,0,"WRIGHT Sue"
"589",9900,0,"HRNJAK Ethan"
"590",9900,0,"MAWSON Greg"
"591",9900,1,"REGAN Michael"
"592",9900,0,"SORENSEN Susan"
"593",9900,0,"WILLIAMS Toby"
"594",9900,0,"WRIGHT Sue"
"595",10000,0,"HRNJAK Ethan"
"596",10000,0,"MAWSON Greg"
"597",10000,1,"REGAN Michael"
"598",10000,0,"SORENSEN Susan"
"599",10000,0,"WILLIAMS Toby"
"600",10000,0,"WRIGHT Sue"
"601",10100,0,"HRNJAK Ethan"
"602",10100,0,"MAWSON Greg"
"603",10100,1,"REGAN Michael"
"604",10100,0,"SORENSEN Susan"
"605",10100,0,"WILLIAMS Toby"
"606",10100,0,"WRIGHT Sue"
"607",10200,0,"HRNJAK Ethan"
"608",10200,0,"MAWSON Greg"
"609",10200,1,"REGAN Michael"
"610",10200,0,"SORENSEN Susan"
"611",10200,0,"WILLIAMS Toby"
"612",10200,0,"WRIGHT Sue"
"613",10300,0,"HRNJAK Ethan"
"614",10300,0,"MAWSON Greg"
"615",10300,1,"REGAN Michael"
"616",10300,0,"SORENSEN Susan"
"617",10300,0,"WILLIAMS Toby"
"618",10300,0,"WRIGHT Sue"
"619",10400,0,"HRNJAK Ethan"
"620",10400,0,"MAWSON Greg"
"621",10400,1,"REGAN Michael"
"622",10400,0,"SORENSEN Susan"
"623",10400,0,"WILLIAMS Toby"
"624",10400,0,"WRIGHT Sue"
"625",10500,0,"HRNJAK Ethan"
"626",10500,0,"MAWSON Greg"
"627",10500,1,"REGAN Michael"
"628",10500,0,"SORENSEN Susan"
"629",10500,0,"WILLIAMS Toby"
"630",10500,0,"WRIGHT Sue"
"631",10600,0,"HRNJAK Ethan"
"632",10600,0,"MAWSON Greg"
"633",10600,1,"REGAN Michael"
"634",10600,0,"SORENSEN Susan"
"635",10600,0,"WILLIAMS Toby"
"636",10600,0,"WRIGHT Sue"
"637",10700,0,"HRNJAK Ethan"
"638",10700,0,"MAWSON Greg"
"639",10700,1,"REGAN Michael"
"640",10700,0,"SORENSEN Susan"
"641",10700,0,"WILLIAMS Toby"
"642",10700,0,"WRIGHT Sue"
"643",10800,0,"HRNJAK Ethan"
"644",10800,0,"MAWSON Greg"
"645",10800,1,"REGAN Michael"
"646",10800,0,"SORENSEN Susan"
"647",10800,0,"WILLIAMS Toby"
"648",10800,0,"WRIGHT Sue"
"649",10900,0,"HRNJAK Ethan"
"650",10900,0,"MAWSON Greg"
"651",10900,1,"REGAN Michael"
"652",10900,0,"SORENSEN Susan"
"653",10900,0,"WILLIAMS Toby"
"654",10900,0,"WRIGHT Sue"
"655",11000,0,"HRNJAK Ethan"
"656",11000,0,"MAWSON Greg"
"657",11000,1,"REGAN Michael"
"658",11000,0,"SORENSEN Susan"
"659",11000,0,"WILLIAMS Toby"
"660",11000,0,"WRIGHT Sue"
"661",11100,0,"HRNJAK Ethan"
"662",11100,0,"MAWSON Greg"
"663",11100,1,"REGAN Michael"
"664",11100,0,"SORENSEN Susan"
"665",11100,0,"WILLIAMS Toby"
"666",11100,0,"WRIGHT Sue"
"667",11200,0,"HRNJAK Ethan"
"668",11200,0,"MAWSON Greg"
"669",11200,1,"REGAN Michael"
"670",11200,0,"SORENSEN Susan"
"671",11200,0,"WILLIAMS Toby"
"672",11200,0,"WRIGHT Sue"
"673",11300,0,"HRNJAK Ethan"
"674",11300,0,"MAWSON Greg"
"675",11300,1,"REGAN Michael"
"676",11300,0,"SORENSEN Susan"
"677",11300,0,"WILLIAMS Toby"
"678",11300,0,"WRIGHT Sue"
"679",11400,0,"HRNJAK Ethan"
"680",11400,0,"MAWSON Greg"
"681",11400,1,"REGAN Michael"
"682",11400,0,"SORENSEN Susan"
"683",11400,0,"WILLIAMS Toby"
"684",11400,0,"WRIGHT Sue"
"685",11500,0,"HRNJAK Ethan"
"686",11500,0,"MAWSON Greg"
"687",11500,1,"REGAN Michael"
"688",11500,0,"SORENSEN Susan"
"689",11500,0,"WILLIAMS Toby"
"690",11500,0,"WRIGHT Sue"
"691",11600,0,"HRNJAK Ethan"
"692",11600,0,"MAWSON Greg"
"693",11600,1,"REGAN Michael"
"694",11600,0,"SORENSEN Susan"
"695",11600,0,"WILLIAMS Toby"
"696",11600,0,"WRIGHT Sue"
"697",11700,0,"HRNJAK Ethan"
"698",11700,0,"MAWSON Greg"
"699",11700,1,"REGAN Michael"
"700",11700,0,"SORENSEN Susan"
"701",11700,0,"WILLIAMS Toby"
"702",11700,0,"WRIGHT Sue"
"703",11800,0,"HRNJAK Ethan"
"704",11800,0,"MAWSON Greg"
"705",11800,1,"REGAN Michael"
"706",11800,0,"SORENSEN Susan"
"707",11800,0,"WILLIAMS Toby"
"708",11800,0,"WRIGHT Sue"
"709",11900,0,"HRNJAK Ethan"
"710",11900,0,"MAWSON Greg"
"711",11900,1,"REGAN Michael"
"712",11900,0,"SORENSEN Susan"
"713",11900,0,"WILLIAMS Toby"
"714",11900,0,"WRIGHT Sue"
"715",12000,0,"HRNJAK Ethan"
"716",12000,0,"MAWSON Greg"
"717",12000,1,"REGAN Michael"
"718",12000,0,"SORENSEN Susan"
"719",12000,0,"WILLIAMS Toby"
"720",12000,0,"WRIGHT Sue"
"721",12100,0,"HRNJAK Ethan"
"722",12100,0,"MAWSON Greg"
"723",12100,1,"REGAN Michael"
"724",12100,0,"SORENSEN Susan"
"725",12100,0,"WILLIAMS Toby"
"726",12100,0,"WRIGHT Sue"
"727",12200,0,"HRNJAK Ethan"
"728",12200,0,"MAWSON Greg"
"729",12200,1,"REGAN Michael"
"730",12200,0,"SORENSEN Susan"
"731",12200,0,"WILLIAMS Toby"
"732",12200,0,"WRIGHT Sue"
"733",12300,0,"HRNJAK Ethan"
"734",12300,0,"MAWSON Greg"
"735",12300,1,"REGAN Michael"
"736",12300,0,"SORENSEN Susan"
"737",12300,0,"WILLIAMS Toby"
"738",12300,0,"WRIGHT Sue"
"739",12400,0,"HRNJAK Ethan"
"740",12400,0,"MAWSON Greg"
"741",12400,1,"REGAN Michael"
"742",12400,0,"SORENSEN Susan"
"743",12400,0,"WILLIAMS Toby"
"744",12400,0,"WRIGHT Sue"
"745",12500,0,"HRNJAK Ethan"
"746",12500,0,"MAWSON Greg"
"747",12500,1,"REGAN Michael"
"748",12500,0,"SORENSEN Susan"
"749",12500,0,"WILLIAMS Toby"
"750",12500,0,"WRIGHT Sue"
"751",12600,0,"HRNJAK Ethan"
"752",12600,0,"MAWSON Greg"
"753",12600,1,"REGAN Michael"
"754",12600,0,"SORENSEN Susan"
"755",12600,0,"WILLIAMS Toby"
"756",12600,0,"WRIGHT Sue"
"757",12700,0,"HRNJAK Ethan"
"758",12700,0,"MAWSON Greg"
"759",12700,1,"REGAN Michael"
"760",12700,0,"SORENSEN Susan"
"761",12700,0,"WILLIAMS Toby"
"762",12700,0,"WRIGHT Sue"
"763",12800,0,"HRNJAK Ethan"
"764",12800,0,"MAWSON Greg"
"765",12800,1,"REGAN Michael"
"766",12800,0,"SORENSEN Susan"
"767",12800,0,"WILLIAMS Toby"
"768",12800,0,"WRIGHT Sue"
"769",12900,0,"HRNJAK Ethan"
"770",12900,0,"MAWSON Greg"
"771",12900,1,"REGAN Michael"
"772",12900,0,"SORENSEN Susan"
"773",12900,0,"WILLIAMS Toby"
"774",12900,0,"WRIGHT Sue"
"775",13000,0,"HRNJAK Ethan"
"776",13000,0,"MAWSON Greg"
"777",13000,1,"REGAN Michael"
"778",13000,0,"SORENSEN Susan"
"779",13000,0,"WILLIAMS Toby"
"780",13000,0,"WRIGHT Sue"
"781",13100,0,"HRNJAK Ethan"
"782",13100,0,"MAWSON Greg"
"783",13100,1,"REGAN Michael"
"784",13100,0,"SORENSEN Susan"
"785",13100,0,"WILLIAMS Toby"
"786",13100,0,"WRIGHT Sue"
"787",13200,0,"HRNJAK Ethan"
"788",13200,0,"MAWSON Greg"
"789",13200,1,"REGAN Michael"
"790",13200,0,"SORENSEN Susan"
"791",13200,0,"WILLIAMS Toby"
"792",13200,0,"WRIGHT Sue"
"793",13300,0,"HRNJAK Ethan"
"794",13300,0,"MAWSON Greg"
"795",13300,1,"REGAN Michael"
"796",13300,0,"SORENSEN Susan"
"797",13300,0,"WILLIAMS Toby"
"798",13300,0,"WRIGHT Sue"
"799",13400,0,"HRNJAK Ethan"
"800",13400,0,"MAWSON Greg"
"801",13400,1,"REGAN Michael"
"802",13400,0,"SORENSEN Susan"
"803",13400,0,"WILLIAMS Toby"
"804",13400,0,"WRIGHT Sue"
"805",13500,0,"HRNJAK Ethan"
"806",13500,0,"MAWSON Greg"
"807",13500,1,"REGAN Michael"
"808",13500,0,"SORENSEN Susan"
"809",13500,0,"WILLIAMS Toby"
"810",13500,0,"WRIGHT Sue"
"811",13600,0,"HRNJAK Ethan"
"812",13600,0,"MAWSON Greg"
"813",13600,1,"REGAN Michael"
"814",13600,0,"SORENSEN Susan"
"815",13600,0,"WILLIAMS Toby"
"816",13600,0,"WRIGHT Sue"
"817",13700,0,"HRNJAK Ethan"
"818",13700,0,"MAWSON Greg"
"819",13700,1,"REGAN Michael"
"820",13700,0,"SORENSEN Susan"
"821",13700,0,"WILLIAMS Toby"
"822",13700,0,"WRIGHT Sue"
"823",13800,0,"HRNJAK Ethan"
"824",13800,0,"MAWSON Greg"
"825",13800,1,"REGAN Michael"
"826",13800,0,"SORENSEN Susan"
"827",13800,0,"WILLIAMS Toby"
"828",13800,0,"WRIGHT Sue"
"829",13900,0,"HRNJAK Ethan"
"830",13900,0,"MAWSON Greg"
"831",13900,1,"REGAN Michael"
"832",13900,0,"SORENSEN Susan"
"833",13900,0,"WILLIAMS Toby"
"834",13900,0,"WRIGHT Sue"
"835",14000,0,"HRNJAK Ethan"
"836",14000,0,"MAWSON Greg"
"837",14000,1,"REGAN Michael"
"838",14000,0,"SORENSEN Susan"
"839",14000,0,"WILLIAMS Toby"
"840",14000,0,"WRIGHT Sue"
"841",14100,0,"HRNJAK Ethan"
"842",14100,0,"MAWSON Greg"
"843",14100,1,"REGAN Michael"
"844",14100,0,"SORENSEN Susan"
"845",14100,0,"WILLIAMS Toby"
"846",14100,0,"WRIGHT Sue"
"847",14200,0,"HRNJAK Ethan"
"848",14200,0,"MAWSON Greg"
"849",14200,1,"REGAN Michael"
"850",14200,0,"SORENSEN Susan"
"851",14200,0,"WILLIAMS Toby"
"852",14200,0,"WRIGHT Sue"
"853",14300,0,"HRNJAK Ethan"
"854",14300,0,"MAWSON Greg"
"855",14300,1,"REGAN Michael"
"856",14300,0,"SORENSEN Susan"
"857",14300,0,"WILLIAMS Toby"
"858",14300,0,"WRIGHT Sue"
"859",14400,0,"HRNJAK Ethan"
"860",14400,0,"MAWSON Greg"
"861",14400,1,"REGAN Michael"
"862",14400,0,"SORENSEN Susan"
"863",14400,0,"WILLIAMS Toby"
"864",14400,0,"WRIGHT Sue"
"865",14500,0,"HRNJAK Ethan"
"866",14500,0,"MAWSON Greg"
"867",14500,1,"REGAN Michael"
"868",14500,0,"SORENSEN Susan"
"869",14500,0,"WILLIAMS Toby"
"870",14500,0,"WRIGHT Sue"
"871",14600,0,"HRNJAK Ethan"
"872",14600,0,"MAWSON Greg"
"873",14600,1,"REGAN Michael"
"874",14600,0,"SORENSEN Susan"
"875",14600,0,"WILLIAMS Toby"
"876",14600,0,"WRIGHT Sue"
"877",14700,0,"HRNJAK Ethan"
"878",14700,0,"MAWSON Greg"
"879",14700,1,"REGAN Michael"
"880",14700,0,"SORENSEN Susan"
"881",14700,0,"WILLIAMS Toby"
"882",14700,0,"WRIGHT Sue"
"883",14800,0,"HRNJAK Ethan"
"884",14800,0,"MAWSON Greg"
"885",14800,1,"REGAN Michael"
"886",14800,0,"SORENSEN Susan"
"887",14800,0,"WILLIAMS Toby"
"888",14800,0,"WRIGHT Sue"
"889",14900,0,"HRNJAK Ethan"
"890",14900,0,"MAWSON Greg"
"891",14900,1,"REGAN Michael"
"892",14900,0,"SORENSEN Susan"
"893",14900,0,"WILLIAMS Toby"
"894",14900,0,"WRIGHT Sue"
