"","Observations","Posterior","Candidate"
"2746",45800,0,"SORENSEN Susan"
"2747",45800,0,"WILLIAMS Toby"
"2748",45800,0,"WRIGHT Sue"
"2749",45900,0,"HRNJAK Ethan"
"2750",45900,0,"MAWSON Greg"
"2751",45900,1,"REGAN Michael"
"2752",45900,0,"SORENSEN Susan"
"2753",45900,0,"WILLIAMS Toby"
"2754",45900,0,"WRIGHT Sue"
"2755",46000,0,"HRNJAK Ethan"
"2756",46000,0,"MAWSON Greg"
"2757",46000,1,"REGAN Michael"
"2758",46000,0,"SORENSEN Susan"
"2759",46000,0,"WILLIAMS Toby"
"2760",46000,0,"WRIGHT Sue"
"2761",46100,0,"HRNJAK Ethan"
"2762",46100,0,"MAWSON Greg"
"2763",46100,1,"REGAN Michael"
"2764",46100,0,"SORENSEN Susan"
"2765",46100,0,"WILLIAMS Toby"
"2766",46100,0,"WRIGHT Sue"
"2767",46200,0,"HRNJAK Ethan"
"2768",46200,0,"MAWSON Greg"
"2769",46200,1,"REGAN Michael"
"2770",46200,0,"SORENSEN Susan"
"2771",46200,0,"WILLIAMS Toby"
"2772",46200,0,"WRIGHT Sue"
"2773",46300,0,"HRNJAK Ethan"
"2774",46300,0,"MAWSON Greg"
"2775",46300,1,"REGAN Michael"
"2776",46300,0,"SORENSEN Susan"
"2777",46300,0,"WILLIAMS Toby"
"2778",46300,0,"WRIGHT Sue"
"2779",46400,0,"HRNJAK Ethan"
"2780",46400,0,"MAWSON Greg"
"2781",46400,1,"REGAN Michael"
"2782",46400,0,"SORENSEN Susan"
"2783",46400,0,"WILLIAMS Toby"
"2784",46400,0,"WRIGHT Sue"
"2785",46500,0,"HRNJAK Ethan"
"2786",46500,0,"MAWSON Greg"
"2787",46500,1,"REGAN Michael"
"2788",46500,0,"SORENSEN Susan"
"2789",46500,0,"WILLIAMS Toby"
"2790",46500,0,"WRIGHT Sue"
"2791",46600,0,"HRNJAK Ethan"
"2792",46600,0,"MAWSON Greg"
"2793",46600,1,"REGAN Michael"
"2794",46600,0,"SORENSEN Susan"
"2795",46600,0,"WILLIAMS Toby"
"2796",46600,0,"WRIGHT Sue"
"2797",46700,0,"HRNJAK Ethan"
"2798",46700,0,"MAWSON Greg"
"2799",46700,1,"REGAN Michael"
"2800",46700,0,"SORENSEN Susan"
"2801",46700,0,"WILLIAMS Toby"
"2802",46700,0,"WRIGHT Sue"
"2803",46800,0,"HRNJAK Ethan"
"2804",46800,0,"MAWSON Greg"
"2805",46800,1,"REGAN Michael"
"2806",46800,0,"SORENSEN Susan"
"2807",46800,0,"WILLIAMS Toby"
"2808",46800,0,"WRIGHT Sue"
"2809",46900,0,"HRNJAK Ethan"
"2810",46900,0,"MAWSON Greg"
"2811",46900,1,"REGAN Michael"
"2812",46900,0,"SORENSEN Susan"
"2813",46900,0,"WILLIAMS Toby"
"2814",46900,0,"WRIGHT Sue"
"2815",47000,0,"HRNJAK Ethan"
"2816",47000,0,"MAWSON Greg"
"2817",47000,1,"REGAN Michael"
"2818",47000,0,"SORENSEN Susan"
"2819",47000,0,"WILLIAMS Toby"
"2820",47000,0,"WRIGHT Sue"
"2821",47100,0,"HRNJAK Ethan"
"2822",47100,0,"MAWSON Greg"
"2823",47100,1,"REGAN Michael"
"2824",47100,0,"SORENSEN Susan"
"2825",47100,0,"WILLIAMS Toby"
"2826",47100,0,"WRIGHT Sue"
"2827",47200,0,"HRNJAK Ethan"
"2828",47200,0,"MAWSON Greg"
"2829",47200,1,"REGAN Michael"
"2830",47200,0,"SORENSEN Susan"
"2831",47200,0,"WILLIAMS Toby"
"2832",47200,0,"WRIGHT Sue"
"2833",47300,0,"HRNJAK Ethan"
"2834",47300,0,"MAWSON Greg"
"2835",47300,1,"REGAN Michael"
"2836",47300,0,"SORENSEN Susan"
"2837",47300,0,"WILLIAMS Toby"
"2838",47300,0,"WRIGHT Sue"
"2839",47400,0,"HRNJAK Ethan"
"2840",47400,0,"MAWSON Greg"
"2841",47400,1,"REGAN Michael"
"2842",47400,0,"SORENSEN Susan"
"2843",47400,0,"WILLIAMS Toby"
"2844",47400,0,"WRIGHT Sue"
"2845",47500,0,"HRNJAK Ethan"
"2846",47500,0,"MAWSON Greg"
"2847",47500,1,"REGAN Michael"
"2848",47500,0,"SORENSEN Susan"
"2849",47500,0,"WILLIAMS Toby"
"2850",47500,0,"WRIGHT Sue"
"2851",47600,0,"HRNJAK Ethan"
"2852",47600,0,"MAWSON Greg"
"2853",47600,1,"REGAN Michael"
"2854",47600,0,"SORENSEN Susan"
"2855",47600,0,"WILLIAMS Toby"
"2856",47600,0,"WRIGHT Sue"
"2857",47700,0,"HRNJAK Ethan"
"2858",47700,0,"MAWSON Greg"
"2859",47700,1,"REGAN Michael"
"2860",47700,0,"SORENSEN Susan"
"2861",47700,0,"WILLIAMS Toby"
"2862",47700,0,"WRIGHT Sue"
"2863",47800,0,"HRNJAK Ethan"
"2864",47800,0,"MAWSON Greg"
"2865",47800,1,"REGAN Michael"
"2866",47800,0,"SORENSEN Susan"
"2867",47800,0,"WILLIAMS Toby"
"2868",47800,0,"WRIGHT Sue"
"2869",47900,0,"HRNJAK Ethan"
"2870",47900,0,"MAWSON Greg"
"2871",47900,1,"REGAN Michael"
"2872",47900,0,"SORENSEN Susan"
"2873",47900,0,"WILLIAMS Toby"
"2874",47900,0,"WRIGHT Sue"
"2875",48000,0,"HRNJAK Ethan"
"2876",48000,0,"MAWSON Greg"
"2877",48000,1,"REGAN Michael"
"2878",48000,0,"SORENSEN Susan"
"2879",48000,0,"WILLIAMS Toby"
"2880",48000,0,"WRIGHT Sue"
"2881",48100,0,"HRNJAK Ethan"
